alpha0y,xi, mean_0,mean_1,count_0,count_1
3.2,0.2,0,0,0,0
0,0.2,436.74,539.01,42702,45241
1.6,0.2,471.51,498.76,0,0
1.6,0.4,505.26,448.81,0,1
2.4,0.2,475.96,495.38,0,0
3.2,0.4,0,933.8,0,0
3.2,0.6,909.52,0,0,0
0,0.4,477.57,482.13,48933,48613
0.8,0.2,447.51,524.16,0,1
0,0.6,419.22,526.54,40707,44530
2.4,0.4,491.58,461.94,0,0
0.8,0.6,487.75,454.48,251,247
0.8,0.4,507.74,445.75,50,66
1.6,0.6,471.44,469.87,20,14
0,0.8,474.55,462.34,49193,47762
2.4,0.6,434.89,505.66,1,0
3.4,0.2,941.44,0,0,0
3.6,0.2,0,0,0,0
3.8,0.2,0,0,0,0
0.2,0.2,422.6,554.81,1263,4859
1.8,0.4,459.02,494.49,0,0
1.8,0.2,491.79,478.8,0,0
3.4,0.6,459,480.59,0,0
3.6,0.6,0,0,0,0
3.8,0.6,0,0,0,0
3.4,0.4,926.82,0,0,0
3.6,0.4,0,0,0,0
3.8,0.4,0,0,0,0
0.2,0.6,459.42,488.51,1025,1792
2.6,0.2,498.75,470.65,0,0
2.6,0.4,0,936.25,0,0
0.2,0.4,485.02,476.03,1881,1103
1,0.6,460.66,482.01,108,97
1,0.2,465.95,505.84,0,0
1,0.4,469.74,484.06,17,30
1.8,0.6,477.93,463.1,4,4
2.6,0.6,488.15,453.4,0,0
0.2,0.8,462.32,479.64,2802,4933
0.8,0.8,475.82,460.03,349,359
2,0.4,472.79,479.25,0,0
1.6,0.8,469.8,462.15,57,70
2.4,0.8,536.34,395.23,5,4
2.8,0.2,495.46,473.66,0,0
2,0.2,502.23,470.14,0,0
0.4,0.2,513.23,457.54,93,94
1.2,0.6,471.27,469.59,37,65
0.4,0.4,471.02,490,393,346
1.2,0.2,462.5,508.38,0,0
0.4,0.6,500.43,449.87,644,688
2.8,0.4,486.02,465.81,0,0
2.8,0.6,918.12,0,0,0
1.2,0.4,464.59,490.24,2,3
0.4,0.8,494.62,447.15,897,839
2,0.6,413.58,524.43,2,1
1,0.8,498.41,436.67,259,280
2.2,0.4,486.64,465.44,0,0
1.8,0.8,426.39,508.72,42,32
2.6,0.8,1.47,910.32,5,0
3,0.2,939.95,0,0,0
1.4,0.6,496.53,445.05,30,19
2.2,0.2,522.76,447.77,0,0
0.6,0.2,486.88,484.87,0,3
3,0.4,0,922.43,0,0
1.4,0.2,470.41,500.09,0,0
0.6,0.6,516.9,429.9,287,495
0.6,0.4,477.64,478.65,208,199
3,0.6,465.44,472.92,0,0
1.4,0.4,476.29,478.32,0,1
0.6,0.8,451.32,486.24,581,529
2.2,0.6,467.08,472.58,0,0
1.2,0.8,441.86,491.58,167,185
3.2,0.8,412.84,519.36,0,0
0.8,1,478.39,453,541,509
2,0.8,433.82,498.18,18,14
2.8,0.8,0,897.48,0,0
3.2,1,593.71,323.42,1,2
0,1,508.52,426.2,42481,38538
1.6,1,441.3,485.53,150,158
1.6,1.2,490.01,431.85,219,241
0,1.2,479.57,448.6,46811,45122
2.4,1,522.68,401.71,27,29
0.8,1.2,407.74,520.06,734,531
3.2,1.2,0,887.34,12,0
2.4,1.2,411.9,514.49,69,51
0,1.4,349.12,579.49,28548,34347
0.8,1.4,456.86,470.92,744,688
1.4,0.8,460.03,474.72,96,109
3.4,0.8,0,902.09,0,0
3.6,0.8,0,0,0,0
3.4,1,902.45,0,0,2
3.6,1,0,0,0,0
3.8,1,0,0,0,0
2.2,0.8,453.96,479.2,10,12
1,1,411.55,517.57,445,346
1.8,1,496.86,429.23,85,108
3,0.8,469.65,459.77,0,2
1.8,1.2,493.88,430.82,143,174
3.4,1.2,894.17,0,0,11
3.6,1.2,0,0,0,0
3.8,1.2,0,0,0,0
0.2,1.2,474.33,452.4,1277,1298
0.2,1,448.07,486.08,1214,1100
2.6,1.2,381.46,540.5,46,30
2.6,1,900.25,1.52,0,24
1,1.2,522.17,405.04,401,532
0.2,1.4,484.65,441.39,1011,1127
1,1.4,481.72,441.04,607,602
1.6,1.4,443.89,478.55,357,290
3.8,0.8,899.63,0,0,1
2.4,1.4,83.03,813.34,181,23
3.2,1.4,887.59,0,0,59
1.2,1,473.22,456.77,279,275
2,1,466.46,460.26,69,49
0,1.6,678.58,248.81,21212,14893
0.4,1.2,475.65,457.89,859,930
0.4,1,443.24,490.38,873,845
2,1.2,485.84,438.3,93,113
0.8,1.6,447.68,475.29,796,747
2.8,1.2,895.22,0,0,52
1.2,1.2,505.99,417.68,373,444
0.4,1.4,447.32,480.52,962,948
2.8,1,908.41,0.29,0,11
1.2,1.4,444.42,478.98,493,452
1.8,1.4,513.32,405.12,208,270
1.6,1.6,487.34,431.05,372,430
3.4,1.4,895.88,0,0,40
3.6,1.4,0,0,0,0
3.8,1.4,0,0,0,0
2.6,1.4,460.44,459.22,75,108
1.4,1,454.31,472.65,223,194
2.2,1,439.04,488.94,44,35
0.6,1.2,468.82,463.05,816,781
2.2,1.2,499.24,425.08,73,104
1,1.6,508.33,415.73,603,709
0.2,1.6,431.2,492.88,1418,1721
0.6,1,452,480.99,657,785
1.4,1.2,458.08,466.86,326,301
3,1.2,490.05,431.02,21,21
0.6,1.4,473.96,452.4,808,828
3,1,458.97,464.65,7,4
1.4,1.4,459.93,460.92,414,422
2,1.4,443.58,472.33,215,183
1.8,1.6,447.64,472.14,337,342
2.8,1.4,880.47,0.27,0,129
2.4,1.6,474.33,447.25,139,163
3.2,1.6,889.69,0,0,105
0,1.8,498.53,420.17,44286,41507
1.6,1.8,554.68,360.84,375,571
1.2,1.6,419.66,498.29,593,494
0.8,1.8,458.01,458.79,761,781
0.4,1.6,418.36,501.7,1243,1179
3.2,1.8,12.16,873.28,167,1
2.4,1.8,435.73,481.69,225,203
0,2,474.2,449.08,47898,45997
0.8,2,487.18,432.08,837,870
2.4,2,411.54,496.76,291,277
1.6,2,483.48,433.14,512,591
2.2,1.4,456.61,464.66,162,151
2,1.6,424.72,490.83,272,249
2.6,1.6,553.5,364.32,89,159
3,1.4,467.76,446.67,42,50
3.4,1.6,893.49,0,0,85
1.8,1.8,490.46,427.04,381,430
3.4,1.8,461.54,447.38,70,82
0.2,1.8,489.19,427.35,2494,3283
2.6,1.8,47.8,835.55,389,14
0.6,1.6,443.42,480.1,934,820
1,1.8,484.02,437.51,660,765
1.4,1.6,433.37,489.22,493,501
0.2,2,470.8,439.82,1235,2030
1,2,390.69,519.02,903,656
2.6,2,606.11,293.18,150,296
1.8,2,219.84,677.3,725,230
3.2,2,39.56,843.85,238,12
0.4,2,504.97,414.35,806,1162
2.8,2,878.97,5.77,3,397
3.6,1.8,854.26,40.91,3,128
2,2,438,479.86,461,433
2.2,1.6,457.14,461.11,211,198
2,1.8,846.54,47.56,37,575
2.8,1.6,533.97,381.99,103,126
2.8,1.8,883.03,4.55,1,290
3.6,1.6,884.85,0,0,62
3.8,1.6,0,0,0,0
1.2,1.8,413.37,505.75,684,537
1.2,2,494.46,423.93,654,699
0.4,1.8,429.95,491.65,1265,1097
3.4,2,787.94,110.9,25,190
0.6,2,476.73,437.96,968,1028
3.8,1.8,892.41,0,0,92
3,1.8,879.51,10.18,1,244
1.4,1.8,447.55,469.27,532,475
1.4,2,402.43,512.12,659,563
3,2,462.2,439.41,177,160
2.2,2,501.37,403.15,277,374
3,1.6,869.94,14.49,6,161
0.6,1.8,494.48,426.44,864,927
2.2,1.8,480.24,434.66,266,289
3.6,2,0,870.51,187,0
3.8,2,0,879.61,130,0
