alpha0y,mean_0,mean_1,count_0,count_1
1.1000,479.2000,492.3500,0.0000,0.0000
0.3000,522.6600,450.7800,391.0000,106.0000
0.5000,473.8300,497.8200,33.0000,19.0000
0.1000,446.4100,529.7100,11245.0000,14114.0000
0.6000,479.8900,490.3700,11.0000,6.0000
0.7000,489.1400,482.6100,3.0000,3.0000
0.8000,466.0100,506.3500,0.0000,0.0000
0.4000,496.8200,475.6400,126.0000,56.0000
1.3000,535.6600,434.9400,0.0000,0.0000
1.0000,481.3100,490.7300,0.0000,0.0000
1.5000,478.2200,492.2400,0.0000,0.0000
0.2000,484.3800,490.0200,482.0000,1011.0000
1.2000,497.1500,475.0500,0.0000,0.0000
1.4000,490.1600,481.2700,0.0000,0.0000
0.0000,515.6400,460.7000,47357.0000,44977.0000
0.9000,482.4400,488.1200,0.0000,0.0000
1.9000,473.8000,498.4700,0.0000,0.0000
2.1000,483.6900,485.7000,0.0000,0.0000
2.4000,943.6000,1.4600,0.0000,0.0000
1.6000,475.2500,492.1600,0.0000,0.0000
3.5000,0.0000,0.0000,0.0000,0.0000
1.8000,476.2100,494.7700,0.0000,0.0000
3.7000,0.0000,0.0000,0.0000,0.0000
3.8000,0.0000,0.0000,0.0000,0.0000
3.9000,0.0000,0.0000,0.0000,0.0000
4.0000,0.0000,0.0000,0.0000,0.0000
1.7000,526.2200,444.5700,0.0000,0.0000
4.1000,0.0000,0.0000,0.0000,0.0000
4.3000,0.0000,0.0000,0.0000,0.0000
4.4000,0.0000,0.0000,0.0000,0.0000
4.5000,0.0000,0.0000,0.0000,0.0000
4.6000,0.0000,0.0000,0.0000,0.0000
4.7000,0.0000,0.0000,0.0000,0.0000
4.8000,0.0000,0.0000,0.0000,0.0000
4.9000,0.0000,0.0000,0.0000,0.0000
2.0000,469.4000,501.9000,0.0000,0.0000
2.7000,504.0400,466.2200,0.0000,0.0000
2.3000,539.1700,430.2600,0.0000,0.0000
2.8000,478.5100,488.2600,0.0000,0.0000
2.2000,503.0200,468.6000,0.0000,0.0000
2.6000,487.8200,481.6800,0.0000,0.0000
2.9000,10.2600,928.7900,0.0000,0.0000
2.5000,466.0700,504.9600,0.0000,0.0000
3.0000,525.3800,445.6700,0.0000,0.0000
3.1000,0.0000,942.7200,0.0000,0.0000
3.2000,0.0000,938.0200,0.0000,0.0000
3.3000,931.4500,0.0000,0.0000,0.0000
3.4000,934.2200,0.0000,0.0000,0.0000
4.2000,0.0000,943.2700,0.0000,0.0000
3.6000,418.5300,551.0400,0.0000,0.0000
