generation_number,alpha0y,xi,nicheidx1,amountniche1,amount_change1,nicheidx2,amountniche2,amount_change2,0,0.6,0,0,0,1,83,0
0,2.4,0.6,0,9,0,1,5,0,,,,,,,,
0,0.8,0.6,0,59,0,1,56,0,,,,,,,,
0,2.4,0.2,0,4,0,1,4,0,,,,,,,,
0,0,0.4,0,0,0,1,92,0,,,,,,,,
0,2.4,0.4,0,4,0,1,4,0,,,,,,,,
0,0.8,0.4,0,57,0,1,56,0,,,,,,,,
0,3.2,0.4,0,0,0,1,1,0,,,,,,,,
0,0,0.2,0,0,0,1,88,0,,,,,,,,
0,0,0.8,0,0,0,1,84,0,,,,,,,,
0,3.4,0.2,0,1,0,1,0,0,,,,,,,,
0,0.8,0.2,0,78,0,1,72,0,,,,,,,,
0,1.6,0.2,0,21,0,1,22,0,,,,,,,,
0,1.6,0.6,0,21,0,1,32,0,,,,,,,,
0,3.2,0.6,0,1,0,1,0,0,,,,,,,,
0,1.6,0.4,0,26,0,1,26,0,,,,,,,,
1,0.8,0.6,0,549,0,1,408,3,,,,,,,,
1,3.2,0.4,0,0,0,1,976,0,,,,,,,,
1,0,0.6,0,697,720,1,261,0,,,,,,,,
1,2.4,0.2,0,382,0,1,606,0,,,,,,,,
1,0,0.4,0,838,857,1,134,0,,,,,,,,
1,2.4,0.4,0,542,0,1,425,0,,,,,,,,
1,0.8,0.4,0,476,0,1,482,2,,,,,,,,
1,0,0.2,0,665,670,1,322,0,,,,,,,,
1,2.4,0.6,0,606,0,1,345,0,,,,,,,,
1,3.4,0.2,0,987,0,1,0,0,,,,,,,,
1,1.6,0.6,0,403,2,1,555,0,,,,,,,,
1,0,0.8,0,646,673,1,311,0,,,,,,,,
1,0.8,0.2,0,492,0,1,490,0,,,,,,,,
1,3.2,0.6,0,971,0,1,0,0,,,,,,,,
1,1.6,0.4,0,480,0,1,494,0,,,,,,,,
1,1.6,0.2,0,482,0,1,508,0,,,,,,,,
2,3.2,0.4,0,0,0,1,967,0,,,,,,,,
2,0.8,0.6,0,603,0,1,348,8,,,,,,,,
2,2.4,0.2,0,188,0,1,796,0,,,,,,,,
2,0,0.6,0,0,720,1,968,859,,,,,,,,
2,2.4,0.4,0,616,0,1,353,0,,,,,,,,
2,0,0.2,0,15,670,1,965,730,,,,,,,,
2,0,0.4,0,0,858,1,973,949,,,,,,,,
2,0.8,0.4,0,436,3,1,533,3,,,,,,,,
2,2.4,0.6,0,565,0,1,390,0,,,,,,,,
2,3.4,0.2,0,971,0,1,0,0,,,,,,,,
2,1.6,0.6,0,462,2,1,489,0,,,,,,,,
2,1.6,0.4,0,467,0,1,490,0,,,,,,,,
2,0,0.8,0,0,673,1,943,793,,,,,,,,
2,0.8,0.2,0,528,0,1,464,0,,,,,,,,
2,1.6,0.2,0,514,0,1,472,0,,,,,,,,
2,3.2,0.6,0,961,0,1,0,0,,,,,,,,
3,3.2,0.4,0,0,0,1,973,0,,,,,,,,
3,0.8,0.6,0,647,1,1,308,9,,,,,,,,
3,2.4,0.4,0,704,0,1,264,0,,,,,,,,
3,0,0.2,0,997,1665,1,0,730,,,,,,,,
3,0.8,0.4,0,396,3,1,568,3,,,,,,,,
3,2.4,0.2,0,111,0,1,872,0,,,,,,,,
3,0,0.4,0,981,1855,1,0,949,,,,,,,,
3,0,0.6,0,960,1720,1,0,859,,,,,,,,
3,2.4,0.6,0,475,0,1,484,0,,,,,,,,
3,3.4,0.2,0,982,0,1,0,0,,,,,,,,
3,1.6,0.6,0,543,2,1,420,0,,,,,,,,
3,0,0.8,0,947,1673,1,0,793,,,,,,,,
3,1.6,0.4,0,452,0,1,516,0,,,,,,,,
3,1.6,0.2,0,572,0,1,416,0,,,,,,,,
3,3.2,0.6,0,946,0,1,0,0,,,,,,,,
3,0.8,0.2,0,532,0,1,460,0,,,,,,,,
4,3.2,0.4,0,0,0,1,982,0,,,,,,,,
4,0.8,0.6,0,629,3,1,318,14,,,,,,,,
4,0,0.2,0,0,1665,1,992,1730,,,,,,,,
4,3.4,0.2,0,964,0,1,0,0,,,,,,,,
4,2.4,0.4,0,764,0,1,199,0,,,,,,,,
4,2.4,0.2,0,156,0,1,830,0,,,,,,,,
4,0,0.4,0,0,1855,1,979,1948,,,,,,,,
4,0.8,0.4,0,432,6,1,531,6,,,,,,,,
4,2.4,0.6,0,398,0,1,567,0,,,,,,,,
4,0,0.6,0,0,1720,1,942,1853,,,,,,,,
4,1.6,0.6,0,585,2,1,370,0,,,,,,,,
4,1.6,0.4,0,440,0,1,526,0,,,,,,,,
4,0,0.8,0,0,1673,1,958,1790,,,,,,,,
4,1.6,0.2,0,593,0,1,396,0,,,,,,,,
4,3.2,0.6,0,169,0,1,0,0,,,,,,,,
4,0.8,0.2,0,531,0,1,460,0,,,,,,,,
5,3.2,0.4,0,0,0,1,971,0,,,,,,,,
5,0.8,0.6,0,561,6,1,387,17,,,,,,,,
5,3.4,0.2,0,973,0,1,0,0,,,,,,,,
5,2.4,0.4,0,805,0,1,163,0,,,,,,,,
5,2.4,0.2,0,284,0,1,706,0,,,,,,,,
5,0,0.4,0,971,2845,1,0,1948,,,,,,,,
