alpha0y,mean_0,mean_1,count_0,count_1
550.0000,1950.0000,95.1700,882.2700,288.0000,47.0000
700.0000,1800.0000,352.1200,626.6500,661.0000,242.0000
250.0000,2250.0000,14.8100,958.2200,142.0000,85.0000
300.0000,2200.0000,51.7600,925.1900,379.0000,96.0000
350.0000,2150.0000,122.1700,855.4400,550.0000,182.0000
500.0000,2000.0000,148.9200,829.2100,374.0000,62.0000
800.0000,1700.0000,287.0900,690.9100,304.0000,149.0000
50.0000,2450.0000,28.8300,945.9200,442.0000,154.0000
150.0000,2350.0000,40.5500,933.1800,266.0000,168.0000
750.0000,1750.0000,277.5800,699.4900,304.0000,119.0000
650.0000,1850.0000,234.9200,742.5500,323.0000,160.0000
400.0000,2100.0000,105.0500,872.7800,353.0000,70.0000
600.0000,1900.0000,262.8300,714.2400,266.0000,66.0000
450.0000,2050.0000,170.1000,806.3400,291.0000,91.0000
100.0000,2400.0000,14.4200,959.5800,266.0000,115.0000
200.0000,2300.0000,47.6700,927.8700,448.0000,129.0000
950.0000,1550.0000,393.6300,583.7600,165.0000,223.0000
900.0000,1600.0000,357.4600,619.5400,231.0000,56.0000
850.0000,1650.0000,254.8500,720.8800,125.0000,131.0000
1000.0000,1500.0000,328.4000,647.7300,199.0000,225.0000
1050.0000,1450.0000,430.3000,546.3200,186.0000,327.0000
1400.0000,1100.0000,510.3500,466.4400,171.0000,222.0000
1250.0000,1250.0000,511.3300,466.1700,169.0000,307.0000
1350.0000,1150.0000,521.0200,455.8700,170.0000,446.0000
1200.0000,1300.0000,488.9200,487.3600,207.0000,130.0000
1100.0000,1400.0000,437.7800,537.5000,216.0000,119.0000
1300.0000,1200.0000,481.7600,496.1400,297.0000,261.0000
1150.0000,1350.0000,421.5200,554.8100,423.0000,228.0000
1500.0000,1000.0000,555.0700,422.9600,184.0000,335.0000
1550.0000,950.0000,638.2100,338.9900,206.0000,147.0000
1450.0000,1050.0000,577.9700,399.7400,268.0000,269.0000
1600.0000,900.0000,639.4800,336.9700,168.0000,171.0000
1850.0000,650.0000,686.7700,291.0500,141.0000,482.0000
1700.0000,800.0000,702.0900,275.2000,216.0000,355.0000
1650.0000,850.0000,714.6600,261.7200,57.0000,203.0000
1900.0000,600.0000,752.8100,221.7500,177.0000,335.0000
1750.0000,750.0000,684.8400,290.1300,112.0000,240.0000
2150.0000,350.0000,810.4400,163.9600,91.0000,323.0000
1800.0000,700.0000,669.3900,306.2000,133.0000,366.0000
2000.0000,500.0000,757.4400,219.0700,88.0000,230.0000
1950.0000,550.0000,941.3800,33.5200,34.0000,159.0000
2100.0000,400.0000,887.5000,88.1500,63.0000,369.0000
2350.0000,150.0000,920.5400,52.2600,169.0000,481.0000
2300.0000,200.0000,901.3200,69.2400,234.0000,545.0000
2050.0000,450.0000,814.9200,162.0800,63.0000,260.0000
2200.0000,300.0000,862.9800,114.1400,135.0000,689.0000
2250.0000,250.0000,918.9000,55.0600,263.0000,235.0000
2400.0000,100.0000,942.9200,31.4200,172.0000,349.0000
2450.0000,50.0000,948.3000,24.8300,168.0000,360.0000
